title,researcher,0
تدريس التعبير الشفوي,,1
,,1
دراسة تقويمية للكتاب الأساسي في تعليم اللغة العربية بجامعة هانكوك للدراسات الأجنبية في كوريا الجنوبية," , بارك ان سوك "" عائشة """,2
الألفاظ العربية المقترضة في اللغة الفارسية : دراسة تحليلية," , داعي الحق "" عباد """,3
كتابة اللغة الصومالية بالحرف العربي," محمد حرسى محمد ""رضوان""",4
"معجم ثنائي اللغة عربي - تايلاندي "" س - ط """," وليلاك يانج ساموه "" عائشة """,5
المقدرات العربية الشائعة في اللغة العفرية وتوظيفها في تعليم اللغة العربية,أبا يزيد إبراهيم محكمي,6
كتابة لغة الملايو بالحرف العربي في بروناي,أبانغ حزمين,7
دور التعليم المصغر في تنمية قدرات معلمي اللغة العربية للناطقين بغيرها شمال كردفان - محلية النهود,إبتسام حمزة علي محمد,8
السلام و مفهومه في شعر زهير بن أبي سلمى و تدريسه للناطقين بغيرها,ابتهاج دفع الله الشيخ العليش,9
السلام ومفهومه في شعر زهير بن ابي سلمى وتدريسه للناطقين بغيرها,ابتهاج دفع الله الشيخ العليش,9
التعددية اللغوية في معهد اللغة العربية بجامعة افريقيا العالمية وأثرها في تعليم اللغة العربية للناطقين بغيرها,إبراهيم أحمد أبكر,10
دراسة إحصائية للتتابعات الفونمية في اللغة العربية المعاصرة ممثلة في نشرات الأخبار المصرية,إبراهيم أحمد الزينى,11
دراسة تقابلية بين أصوات اللغة العربية الفصحي ولغة الفور,إبراهيم آدم أحمد,12
الاتجاهات الحديثة في تعليم اللغة العربية للناطقين بغيرها,إبراهيم الحاج أنيمبا سيسي,13
أساليب تعليم وظيفة الإتصال بالعربية للناطقين بغيرها (الدعاء نموذجا),إبراهيم الحاج عثمان,14
دور الفروق الفردية في إكتساب اللغة العربية,إبراهيم الخليفة الحسن محمد نور,15
أساليب إستخدام الوسائل التعليمية في تعليم اللغة العربية للأطفال من سن السابعة إلي العاشرة,إبراهيم الخليفة الحسن محمد نور,15
معجم عربي - تايلاندي - مساعد لمتعلمي اللغة العربية في تايلاند,إبراهيم تي هي,16
لغة الصحافة السودانية المعاصرة,إبراهيم جمعه العجب,17
"معجم عربي - ولفي "" ب - ح "" ",إبراهيم حبيب كا,18
المستوى الصرفي بين اللغة العربية واللغة الأمهرية : دراسة وصفية مقارنة,إبراهيم حسن تشوم,19
تعليم النصوص الأدبية في المدارس الإسلامية الثانوية بمنطقة قارسا - شمال شرق كينيا,إبراهيم حسن علي,20
مركز الإسيسكو التربوي الإقليمي بتشاد ودوره في تنمية مهارات اللغة العربية للقادة الإداريين الناطقين بغير العربية(إنجمينا أنموذجا),إبراهيم حسين أحمد,21
الصعوبات التي تواجه تلميذ المدرسة الإبتدائية في تعليم اللغة العربية في منطقة الزغاوة,إبراهيم حمدت الله,22
