"id","title","researcher_id","degree_id","date_of_publish","paper_number","others"
1,الإبدال من القلب في العربية وعامية الخرطوم,295,2,1981,2,""
2,الإبدال والقلب المكاني ومطل الحركات في اللغة العربية,284,3,1999,1185,""
3,الأبعاد اللغوية والدلالية للأمثال القرآنية ( نماذج فنية ),788,2,2007,1610,""
4,الأبنية الصوتية الأساسية في اللغة العربية المعاصرة,2152,3,1978,150,""
5,إتجاهات البحث التربوي بمعهد الخرطوم الدولي للغة العربية 90 - 1991,100,3,2000,1181,""
6,اتجاهات البحث العلمي بمعهد الخرطوم الدولي للغة العربية 2000 - 2004 م,2164,2,2006,1573,""
7,اتجاهات البحث العلمي في تعليم اللغة العربية للناطقين بغيرها بمعهد الخرطوم الدولي للغة العربية 2010 - 2015,1935,3,2017,2430,""
8,إتجاهات البحث اللغوي بمعهد الخرطوم الدولي للغة العربية 1990 - 1999,1419,3,2001,1268,""
9,إتجاهات التسيير في النحو العربي ومدى الإفادة منها في تعليم اللغة العربية لغير الناطقين بها,774,3,1977,54,""
10,الإتجاهات الحديثة في بناء المناهج ودورها في تطوير مناهج تعليم اللغة العربية للناطقين بغيرها,262,3,2007,1590,""
11,الاتجاهات الحديثة في بناء مناهج تعليم اللغة العربية للناطقين بغيرها,460,3,2017,2376,""
12,الاتجاهات الحديثة في تعليم اللغة العربية للناطقين بغيرها,13,3,2017,2367,""
13,الإتجاهات الحديثة لإستخدام التلفزيون,263,3,2001,1246,""
14,الاتجاهات المعاصرة في تعليم اللغة العربية للناطقين بغيرها : دراسة وتحليل,2085,3,2014,2238,""
15,الإتجاهات النفسية لطلبة وطالبات المدارس الثانوية الحكومية التشادية نحو اللغة العربية,1329,3,2001,1263,""
16,الإتجاهات النفسية نحو القراءة لدي طلاب معهد اللغة العربية بجامعة إفريقيا العالمية,197,3,1997,1056,""
17,اتجاهات تطوير نظام التعليم العربي في دولة بنين,1610,3,2007,1640,""
18,اتجاهات طلاب البكالريوس (المستوى الرابع) نحو المقرر الدراسي بمعهد الخرطوم الدولي,802,3,2010,1882,""
19,إتجاهات معلمي اللغة العربية بالمدارس الثانوية بولاية الخرطوم نحو الإشراف التربوي,1453,3,1996,1031,""
20,اتجاهات معلمي المرحلة الثانوية نحو الإشراف التربوي بمحلية كسلا : دراسة تحليلية لاتجاهات معلمي اللغة العربية 2007 / 2008 م,674,3,2008,1686,""
21,الإتجاهات نحو التعريب لدي طلاب جامعة الخرطوم,1768,3,1993,889,""
22,الإتصال اللغوي وتطبيقاته في تعليم اللغة الأجنبية,521,3,1998,1093,""
23,إتقان القراءة وعلاقته بالتحصيل الدراسي لدى طلاب الصف الأول بالمرحلة الثانوية ببورتسودان (دراسة ميدانية بالديوم الشرقية),1123,3,2008,1700,""
24,الآثار التربوية الناتجة من تحويل المرحلتين الإبتدائية والمتوسطة إلى مرحلة الأساس بالسودان,238,3,1995,957,""
25,"أثر "" الآما "" كلغة أم في إكتساب اللغة العربية لدي تلاميذ مرحلة الأساس بجبال النوبة",2107,3,2002,1330,""
26,أثر استخدام الطريقة الكلية في تدريس اللغة علي تحصيل تلاميذ الصف الأول أساس : دراسة وصفية تحليلية بمحلية أم بدة وحدة الأمير,1499,3,2007,1636,""
27,أثر إستخدام العامية في تعليم اللغة العربية الفصحي مرحلة الأساس بمنطقة أم كدادة,54,3,2002,1284,""
28,"أثر إستخدام جهاز التسجيل الصوتي في تدريس القرآن الكريم ""الصف السادس مرحلة التعليم الأساسي محلية جبل أولياء""",2006,3,2007,115,""
29,أثر الإستفهام في تأدية المعني خلال الجزء الأول من القرآن الكريم,896,2,1994,921,""
30,أثر الإسلام في نشر اللغة العربية بالصومال,1862,3,1985,457,""
31,أثر الإعلام في نشر اللغة العربية في جيبوتي 2001 - 2003,1297,3,2003,1365,""
32,أثر البرامج التلفزيونية بإسلوب النظم التعليمية في تحصيل الدارسين,1916,3,1997,1059,""
33,أثر التجويد في تعليم الأًصوات العربية للناطقين بغيرها مع نماذج تطبيقية من القرآن الكريم,2036,3,2006,1568,""
34,أثر الترادف والمشترك اللفظي في تعليم اللغة العربية للناطقين بغيرها ( المستوى المتقدم),1250,3,2013,2105,""
35,الأثر التربوي والنفسي للمسرح في تعليم اللغة العربية للناطقين بغيرها,1627,3,1983,213,""
36,أثر التطبيع الإجتماعي في إكتساب أصوات اللغة العربية في مناطق التداخل اللغوي بمحافظة الخرطوم,630,3,1983,198,""
37,أثر التفكير الفلسفي في الدراسات النحوية,534,3,1988,698,""
305,الأفعال المعتلة وتدريسها للناطقين بغير العربية,405,3,1990,771,""
