"id","first_name","second_name","third_name","fourth_name","alternative_name","title"
1,"","","","","",
2,بارك,ان,سوك,"",عائشة,
3,عباد,"","","",داعي الحق,
4,محمد,حرسى,محمد,"",رضوان,
5,وليلاك,يانج,ساموه,"",عائشة,
6,أبا يزيد,إبراهيم,محكمي,"","",
7,أبانغ,حزمين,"","","",
8,إبتسام,حمزة,علي,محمد,"",
9,ابتهاج,دفع الله,الشيخ,العليش,"",
10,إبراهيم,أحمد,أبكر,"","",
11,إبراهيم,أحمد,الزينى,"","",
12,إبراهيم,آدم,أحمد,"","",
13,إبراهيم,الحاج,أنيمبا,سيسي,"",
14,إبراهيم,الحاج,عثمان,"","",
15,إبراهيم,الخليفة,الحسن,محمد نور,"",
16,إبراهيم,تي,هي,"","",
17,إبراهيم,جمعه,العجب,"","",
18,إبراهيم,حبيب,كا,"","",
19,إبراهيم,حسن,تشوم,"","",
20,إبراهيم,حسن,علي,"","",
21,إبراهيم,حسين,أحمد,"","",
22,إبراهيم,حمدت الله,"","","",
23,إبراهيم,حنفي,مكي,محمد,"",
24,إبراهيم,خالد,إبراهيم,درويش,"",
25,إبراهيم,خوجلي,السيد,محمود,"",
26,إبراهيم,داغي,مايدة,"","",
27,إبراهيم,داؤود,علي,إسماعيل,"",
28,إبراهيم,رابح,صديق,إبراهيم,"",
29,إبراهيم,سليمان,أحمد,مختار,"",
30,إبراهيم,سليمان,جاكتي,"","",
31,إبراهيم,سليمان,حسن,علي,"",
32,إبراهيم,سيد,العزيز,يحى,اسحق,
33,إبراهيم,شعبان,"","","",
34,إبراهيم,شعيب,زينان,طيب,"",
35,إبراهيم,صالح,الخلفات,"","",
36,إبراهيم,عبد الباقي,"","","",
37,إبراهيم,عبد اللطيف,شيخ,"","",
38,إبراهيم,عبد الله,شيشي,"","",
39,إبراهيم,عبد الله,عماد الدين,"","",
40,إبراهيم,علي,علي,"","",
41,إبراهيم,عمر,أبكر,"","",
42,إبراهيم,عمر,أمادو,"","",
43,إبراهيم,كونغ,إلجو,"","",
44,إبراهيم,محمد,أحمد,حمزة,"",
45,إبراهيم,محمد,شرف الدين,"","",
46,إبراهيم,محمد,نور,إبراهيم,"",
47,إبراهيم,محمود,محمد,"","",
48,إبراهيم,معلم,أمين,"","",
49,إبراهيم,موري,تراوري,"","",
50,إبراهيم,ميكطى,موسي,"","",
51,إبراهيم,هارون,الحاج,"","",
52,إبراهيم,يسن,حسن,الماحي,"",
53,أَبشر,عثمان,أحمد,محمود,"",
54,إبن عمر,عبد الله,محمد,بحر,التجاني,
55,إبن عوف,عباس,بن عوف,"","",
56,أبو القاسم,محمد,عبد الشكور,"","",
57,أبو المعالي,بن أحمد,"","","",
58,أبو بكر,إبراهيم,حسن,"","",
59,أبو بكر,إبراهيم,عمر,أحمد,"",
60,أبو بكر,أحمد,أفو,"","",
61,أبو بكر,الصديق,سيسي,"","",
62,أبو بكر,أندور,"","","",
63,أبو بكر,تشوجين,يونغ,"","",
64,أبو بكر,رفيق,أحمد,"","",
65,أبو بكر,شوجين,يونغ,"","",
66,أبو بكر,شيخ,عمر,أبكر,"",
67,أبو بكر,شيخ,عيدى,إبراهيم,"",
68,أبو بكر,عبد الرحيم,عوض,حنفي,"",
