"id","first_name","second_name","third_name","fourth_name","alternative_name","title"
1,"","","","","",
2,إبراهيم,أحمد,الحاردلو,"","",
3,إبراهيم,أحمد,الماكوشي,"","",
4,إبراهيم,آدم,اسحق,"","",
5,إبراهيم,التكينة,"","","",
6,أحمد,خالد,بابكر,"","",
7,أحمد,عبد الرحمن,نصر,"","",
8,أحمد,علي,الإمام,"","",
9,أحمد,عمر,عبيدالله,"","",
10,أحمد,محمد,بابكر,"","",
11,أحمد,يوسف,عبد الرحيم,"","",
12,آدم,اسحق,حامد,"","",
13,آدم,التجاني,إسماعيل,"","",
14,إدوارد,مهني,"","","",
15,إزدهار,عبد الرحمن,السيد,إبراهيم,"",
16,إسماعيل,صبري,مسلم,"","",
17,الأمين,أبو منقة,محمد,"","",
18,الأمين,صالح,أبو اليمن,"","",
19,البشرى,السيد,محمد,هاشم,"",
20,البشير,أحمد,شمبال,"","",
21,التجاني,إسماعيل,الجزولي,"","",
22,الحبر,يوسف,نورالدائم,"","",
23,الرشيد,أبو بكر,"","","",
24,الرشيد,محمد,صغير,"","",
25,السر,الشيخ,أحمد,مختار,"",
26,الصديق,آدم,بركات,"","",
27,الصديق,عبد الله,"","","",
28,الطاهر,مصطفى,"","","",
29,الطاهر,مصطفى,عمر,"","",
30,الطاهر,مصطفى,محمد,صالح,"",
31,الطيب,حاج عطية,"","","",
32,الطيب,عبد الوهاب,محمد,"","",
33,الفاتح,على,النور,على,"",
34,المهدي,المأمون,أبشر,"","",
35,النعيم,التوم,محمد,أحمد,"",
36,إمام,محمد,عبد الرحيم,"","",
37,أنجيل,عزيز,تادرس,"","",
38,أنور,سليمان,وقيع الله,"","",
39,بابكر,إدريس,الحبر,"","",
40,بابكر,البدوي,دشين,"","",
41,بابكر,حسن,محمد,قدرماري,"",
42,بتول,حاج أحمد,"","","",
43,بدر الدين,أحمد,إبراهيم,"","",
44,بشرى,السيد,محمد,هاشم,"",
45,بكري,محمد,الحاج,"","",
46,تاج الدين,بغدادي,عمر,"","",
47,تاج السر,بشير,صالح,"","",
48,تغريد,السيد,عنبر,"","",
49,تماضر,حمزة,محمد,فضل,"",
50,توحيدة,عثمان,حضرة,"","",
51,جعفر,محمد,العبية,"","",
52,جعفر,موسي,حيدر,"","",
53,جعفر,ميرغني,أحمد,"","",
54,جلال,محمد,البشير,"","",
55,جيمس,دهب,"","","",
56,حاجة,كاشف,بدري,"","",
57,حامد,محمد,إبراهيم,محمد,"",
58,حربية,محمد,أحمد,عثمان,"",
59,حسب الرسول,حمدنا الله,محمد,"","",
60,حسن,الفضل,علي,محمد,"",
61,حسن,عبد الرحمن,الحسن,"","",
62,حسن,عثمان,عبد الرحيم,"","",
63,حسن,علي,الشايقي,"","",
64,حسن,علي,عيسى,"","",
65,حسن,منصور,أحمد,سوركتي,"",
66,حمد النيل,محمد,الحسن,إبراهيم,"",
67,حياة,عبد الوهاب,التهامي,"","",
68,خالد,المبارك,"","","",
69,رشدي,أحمد,طعيمة,"","",
70,رشيد,أبو بكر,"","","",
71,رقية,السيد,الطيب,العباس,"",
72,زكريا,علي,أحمد,"","",
73,سعاد,حسن,أحمد,"","",
74,سعاد,عبد الرحيم,البشير,"","",
75,سعد,حسن,أحمد,"","",
76,سعد,مصلوح,"","","",
77,سعيد,حواية الله,أحمد,"","",
78,سلوى,طيفور,أحمد,طيفور,"",
79,سلوى,عثمان,أحمد,محمد,"",
80,سليمان,بلدو,"","","",
81,سيد,حامد,حريز,"","",
82,سيف الإسلام,سعد,عمر,"","",
83,صديق,مصطفى,الريح,"","",
84,طه,محمد,محمود,"","",
85,عاشري,أحمد,محمود,"","",
86,عباس,حسين,علي,"","",
87,عباس,سراج,عباس,"","",
88,عبد الباقي,المبارك,البشير,"","",
89,عبد الباقي,عبد الغني,بابكر,"","",
90,عبد الحليم,محمد,حامد,"","",
91,عبد الحليم,محمد,موسى,"","",
92,عبد الحميد,محمد,جماع,الأمين,"",
93,عبد الحي,عبد الحق,"","","",
94,عبد الرحمن,الشيخ,الطاهر,"","",
95,عبد الرحمن,النصري,"","","",
96,عبد الرحمن,عبد الله,الخانجي,"","",
97,عبد الرحمن,محمد,أحمد,كدوك,"",
98,عبد الرحمن,مصطفى,"","","",
99,عبد العظيم,زين العابدين,أحمد,"","",
100,عبد القادر,أحمد,الحكيم,"","",
101,عبد القادر,أحمد,الشيخ الفادني,"","",
102,عبد القادر,عبد الله,محمد,على,"",
103,عبد القادر,عثمان,محمد,جاد الرب,"",
104,عبد القادر,قسم السيد,الدابي,"","",
105,عبد الله,حمدنا الله,"","","",
106,عبد الله,عبد القادر,كريم الدين,"","",
107,عبد الله,محمد,أحمد,"","",
108,عبد الله,محمد,عبد الله,عجبنا,"",
109,عبد المطلب,الفادني,"","","",
110,عبد المطلب,سيد,أحمد,"","",
111,عبد المنعم,الكاروري,"","","",
112,عبد المنعم,محمد,عثمان,"","",
113,عبد النور,محمد,الماحي,"","",
114,عبد الهادي,محمد,عمر,تميم,"",
115,عبير,محمد,على,بشير,"",
116,عثمان,أحمد,محمد,عبد الوهاب,"",
117,عثمان,الفكي,بابكر,"","",
118,عثمان,حسن,وقيع الله,"","",
119,عثمان,سليمان,عثمان,"","",
120,عثمان,عبد الله,ضيف الله,"","",
121,عز الدين,سعيد,على,طه,"",
122,عز الدين,عبد الرحيم,مجذوب,"","",
123,عشاري,أحمد,محمود,"","",
124,علي,أحمد,محمد,بابكر,"",
125,علي,أحمد,يوسف,"","",
126,علي,جمعة,عثمان,"","",
127,علي,عبد الله,أحمد,تميم,"",
128,علي,محمد,شمو,"","",
129,علي,محمد,يوسف,"","",
130,عمر,الصديق,عبد الله,موسى,"",
131,عمر,بلال,الصديق,"","",
132,عمر,حسب الرسول,عثمان,"","",
133,عمر,محمد,الحسن,شاع الدين,"",
134,عمر,هاشم,إسماعيل,"","",
135,عمر,يوسف,حمزة,"","",
136,عوض,إبراهيم,عوض,"","",
137,عوض الكريم,عوض الله,الزين,"","",
138,عوض,حسان,الماحي,"","",
139,عون,الشريف,قاسم,"","",
140,فتح الرحمن,حسن,التني,"","",
141,فتحي,علي,يونس,"","",
142,فريد,محجوب,الصديق,"","",
143,قاسم,عثمان,نور,"","",
144,كبشور,كوكو,قمبيل,"","",
145,كلود,لموند,"","","",
146,كمال,محمد,جاه الله,الخضر,"",
147,مبارك,حسين,نجم الدين,بشير,"",
148,مجذوب,رحمة الله,"","","",
149,مجذوب,سالم,البر,"","",
150,محمد,أبو العزم,"","","",
151,محمد,أحمد,إبراهيم,فضل المولى,"",
152,محمد,الأمين,الخطيب,"","",
153,محمد,الأمين,دفع الله,"","",
154,محمد,الأمين,علي,"","",
155,محمد,الطيب,عبد الله,"","",
156,محمد,المهدي,أحمد,"","",
157,محمد,بن إسماعيل,"","","",
158,محمد,حسن,محمد,"","",
159,محمد,داؤد,محمد,داؤد,"",
160,محمد,زايد,بركة,"","",
161,محمد,سعد,محمد,سالم,"",
162,محمد,صلاح الدين,"","","",
163,محمد,عبد الحليم,محمد,موسى,"",
164,محمد,عبد الحميد,أبو العرق,"","",
165,محمد,عبد الماجد,أحمد,"","",
166,محمد,عزّت,عبد الموجود,"","",
167,محمد,علي,أحمد,عمر,"",
168,محمد,غالب,عبد الرحمن,وراق,"",
169,محمد,مزمل,البشير,"","",
170,محمد,مهدي,أحمد,"","",
171,محمد,يحيى,"","","",
172,محمود,كامل,الناقة,"","",
173,مصطفى,محمد,صالح,"","",
174,مضوي,مختار,المشرّف,"","",
175,نصر,سلمان,نصر,"","",
176,هاشم,عبيد,حسن,"","",
177,هاشم,محمد,محمد صالح,الجاز,"",
178,وداعة,محمد,الحسن,عكود,"",
179,ياسر,بابكر,السيد,"","",
180,ياسر,جبريل,معاذ,"","",
181,ياسر,عبد المطلب,أحمد,"","",
182,يحيى,هارون,محمد,"","",
183,يوسف,الخليفة,أبو بكر,"","",
184,يوسف,محمد,فتح الرحمن,"","",
185,يوسف,مصطفى,بلال,"","",
186,يونس,الأمين,"","","",
